date,rate
1953-04-01,2.36
1954-04-01,0.96
1955-04-01,1.75
1956-04-01,2.92
1957-04-01,3.49
1958-04-01,1.45
1959-04-01,3.72
1960-04-01,4.04
1961-04-01,2.88
1962-04-01,2.99
1963-04-01,3.11
1964-04-01,3.91
1965-04-01,4.04
1966-04-01,4.90
1967-04-01,4.11
1968-04-01,5.71
1969-04-01,6.26
1970-04-01,7.06
1971-04-01,4.30
1972-04-01,4.96
1973-04-01,6.85
1974-04-01,8.62
1975-04-01,6.90
1976-04-01,5.92
1977-04-01,5.44
1978-04-01,7.45
1979-04-01,10.12
1980-04-01,13.30
1981-04-01,14.32
1982-04-01,13.98
1983-04-01,8.98
1984-04-01,10.90
1985-04-01,9.14
1986-04-01,6.44
1987-04-01,6.50
1988-04-01,7.01
1989-04-01,9.36
1990-04-01,8.40
1991-04-01,6.24
1992-04-01,4.30
1993-04-01,3.24
1994-04-01,4.82
1995-04-01,6.27
1996-04-01,5.54
1997-04-01,5.99
1998-04-01,5.38
1999-04-01,4.69
2000-04-01,6.15
2001-04-01,3.98
2002-04-01,2.48
2003-04-01,1.27
2004-04-01,1.43
2005-04-01,3.32
2006-04-01,4.90
2007-04-01,4.93
2008-04-01,1.74
2009-04-01,0.55
2010-04-01,0.45
2011-04-01,0.25
2012-04-01,0.18
2013-04-01,0.12
2014-04-01,0.11
2015-04-01,0.23
2016-04-01,0.56
2017-04-01,1.04
2018-04-01,2.15
